B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,class,year,label,random
0.0227,0.044,0.0256,0.312,0.1311,0.0568,0.8483412,-0.752809,-0.40826,-0.3622304,1,2024,vegetasi,0.3991902522220948
0.0212,0.0439,0.0208,0.3828,0.1603,0.0679,0.89692765,-0.7942348,-0.40968516,-0.38096052,1,2024,vegetasi,0.3701697197297842
0.0171,0.03795,0.0149,0.3282,0.1363,0.0572,0.9131449,-0.7927079,-0.41313243,-0.39093658,1,2024,vegetasi,0.4269061299537723
0.0281,0.0607,0.0255,0.3912,0.1906,0.0856,0.8776098,-0.7313565,-0.34479204,-0.3197986,1,2024,vegetasi,0.7886676576424038
0.0235,0.0461,0.0193,0.3604,0.137,0.0596,0.89834076,-0.77318573,-0.4491355,-0.42132545,1,2024,vegetasi,0.7974646867235414
0.0276,0.05555,0.02835,0.3732,0.13735,0.0592,0.8587972,-0.74087465,-0.4619528,-0.41500443,1,2024,vegetasi,0.21865095701296733
0.0214,0.03965,0.01775,0.39,0.152,0.0603,0.91293687,-0.8154312,-0.4391144,-0.41581348,1,2024,vegetasi,0.8252938929047976
0.02375,0.0515,0.0208,0.3944,0.15785,0.06735,0.89980733,-0.7690065,-0.42833862,-0.401307,1,2024,vegetasi,0.7685920215866826
0.02245,0.0447,0.0192,0.3548,0.12645,0.05045,0.8973262,-0.77622026,-0.47449347,-0.4429145,1,2024,vegetasi,0.24039769363437835
0.0309,0.0714,0.0284,0.4164,0.1807,0.08,0.8723022,-0.70725703,-0.39474124,-0.36288846,1,2024,vegetasi,0.6140215136994391
0.0327,0.0577,0.0264,0.3612,0.1749,0.0811,0.8637771,-0.7245166,-0.3475098,-0.32358873,1,2024,vegetasi,0.8226499343194648
0.0256,0.0443,0.0204,0.3708,0.1496,0.0621,0.8957055,-0.78655744,-0.42505765,-0.3997175,1,2024,vegetasi,0.5836849094356373
0.0238,0.051,0.0195,0.3894,0.14495,0.06045,0.90462214,-0.7683924,-0.4574717,-0.43062407,1,2024,vegetasi,0.6514722894609637
0.044,0.0778,0.0385,0.506,0.1952,0.0835,0.85858583,-0.7334704,-0.44324017,-0.4035983,1,2024,vegetasi,0.49048948071767007
0.0235,0.0416,0.0183,0.3246,0.1185,0.0478,0.89326334,-0.77280176,-0.46513203,-0.43575996,1,2024,vegetasi,0.21318504209404943
0.0328,0.0565,0.0252,0.415,0.17595,0.07615,0.8855066,-0.7603393,-0.40451813,-0.38007548,1,2024,vegetasi,0.7592348917599324
0.0234,0.0484,0.0183,0.428,0.1692,0.0682,0.91799235,-0.79680943,-0.43335566,-0.4130537,1,2024,vegetasi,0.3798284044933634
0.0236,0.0412,0.021,0.3376,0.1513,0.0631,0.8828779,-0.78247094,-0.38105953,-0.35407686,1,2024,vegetasi,0.11309682905893881
0.0268,0.0483,0.0188,0.4076,0.1561,0.0648,0.9118199,-0.7881114,-0.44615927,-0.42589855,1,2024,vegetasi,0.7402811383292198
0.0237,0.0404,0.02,0.3632,0.1582,0.0638,0.8956159,-0.79980177,-0.39317226,-0.36931518,1,2024,vegetasi,0.0486256665010828
